Facility_INSPIRE_ID,FacilityID,match_weight,match_probability
AT.CAED/9008390237748.FACILITY,5892,24.543933072615857,0.9999999591172675
AT.CAED/9008390301753.FACILITY,229196,28.487043856137127,0.9999999973420591
AT.CAED/9008390306826.FACILITY,5747,24.976543107016376,0.9999999697091595
AT.CAED/9008390316955.FACILITY,97511,4.858570998072905,0.9666798417159074
AT.CAED/9008390317211.FACILITY,5752,17.15577453189772,0.9999931515184076
AT.CAED/9008390356005.FACILITY,229224,14.416581999556888,0.9999542747041107
AT.CAED/9008390369487.FACILITY,229202,27.812116837915852,0.999999995756555
AT.CAED/9008390372845.FACILITY,229206,14.738209170205105,0.9999634117980897
AT.CAED/9008390389584.FACILITY,254256,23.444244476363654,0.9999999123848621
AT.CAED/9008390389683.FACILITY,300175,15.29868946994317,0.9999751901121977
AT.CAED/9008390390399.FACILITY,296154,25.467311791012943,0.9999999784436497
AT.CAED/9008390392713.FACILITY,5836,24.472542366862513,0.9999999570433249
AT.CAED/9008390392737.FACILITY,5838,30.790695912771536,0.9999999994616349
AT.CAED/9008390393611.FACILITY,301205,8.416847926624301,0.9970825232134501
AT.CAED/9008390393680.FACILITY,301205,8.729126793232663,0.9976490208370763
AT.CAED/9008390395974.FACILITY,229220,14.705871816835485,0.9999625824609815
AT.CAED/9008390396414.FACILITY,5894,16.55469615434247,0.9999896119178138
AT.CAED/9008390396803.FACILITY,229223,23.17780517381796,0.9999998946134073
AT.CAED/9008390397176.FACILITY,5970,19.247536052890766,0.9999983933783769
AT.CAED/9008390397220.FACILITY,52039,37.847938038369556,0.9999999999959577
AT.CAED/9008390397602.FACILITY,229226,23.689327381985258,0.99999992607321
AT.CAED/9008390397954.FACILITY,65071,25.937928156332813,0.9999999844437257
AT.CAED/9008390397961.FACILITY,64994,25.550905033223565,0.9999999796571798
AT.CAED/9008390398050.FACILITY,229165,5.0810667151363855,0.971305262863079
AT.CAED/9008390402054.FACILITY,299183,21.149872103996852,0.999999570212376
AT.CAED/9008390402368.FACILITY,5854,39.576291055120066,0.99999999999878
AT.CAED/9008390402511.FACILITY,254248,8.76455121629299,0.9977059138032018
AT.CAED/9008390402535.FACILITY,5863,28.620380941049547,0.9999999975767019
AT.CAED/9008390403778.FACILITY,229227,10.304627586318931,0.9992099496819121
AT.CAED/9008390403839.FACILITY,300176,25.12889557333701,0.9999999727448446
AT.CAED/9008390403853.FACILITY,229229,5.431291428832857,0.9773499859479937
AT.CAED/9008390403860.FACILITY,97495,13.7208532083739,0.9999259407254734
AT.CAED/9008390404355.FACILITY,5947,39.71832597947388,0.9999999999988944
AT.CAED/9008390413227.FACILITY,229262,28.424568256779573,0.999999997224429
AT.CAED/9008390413739.FACILITY,110666,21.505437744976614,0.9999996640937976
AT.CAED/9008390413791.FACILITY,229228,13.7208532083739,0.9999259407254734
AT.CAED/9008390413920.FACILITY,201966,17.735089110036746,0.9999954164263776
AT.CAED/9008390414286.FACILITY,229231,13.219168079972011,0.9998951451918535
AT.CAED/9008390414422.FACILITY,229232,29.08531261332138,0.9999999982443074
AT.CAED/9008390415016.FACILITY,229186,26.176298442567806,0.9999999868129095
AT.CAED/9008390415863.FACILITY,5789,28.85925238342757,0.9999999979464779
AT.CAED/9008390416099.FACILITY,229187,13.629250535232572,0.9999210862834914
AT.CAED/9008390416235.FACILITY,229175,26.880842559041632,0.9999999919079217
AT.CAED/9008390416471.FACILITY,5925,27.647936663570107,0.9999999952450961
AT.CAED/9008390416983.FACILITY,229182,28.686302351537606,0.9999999976849385
AT.CAED/9008390418321.FACILITY,229233,28.85925238342757,0.9999999979464779
AT.CAED/9008390418338.FACILITY,229234,26.637236792455255,0.9999999904193998
AT.CAED/9008390420638.FACILITY,52027,7.753219523720219,0.9953863986818495
AT.CAED/9008390420645.FACILITY,229194,27.71385807405817,0.999999995457474
AT.CAED/9008390421000.FACILITY,229193,13.120909316114329,0.999887755782749
AT.CAED/9008390427989.FACILITY,5917,23.30061481242486,0.9999999032132333
AT.CAED/9008390437858.FACILITY,229239,23.086566121082324,0.9999998877332755
AT.CAED/9008390438176.FACILITY,65024,14.742043294820553,0.9999635089027199
AT.CAED/9008390444337.FACILITY,229293,26.760046431062158,0.9999999912012022
AT.CAED/9008390446737.FACILITY,229218,24.175083930341003,0.9999999472072159
AT.CAED/9008390456927.FACILITY,138315,13.629250535232572,0.9999210862834914
AT.CAED/9008390460733.FACILITY,110742,27.812116837915852,0.999999995756555
AT.CAED/9008390461860.FACILITY,284923,24.175083930341003,0.9999999472072159
AT.CAED/9008390466384.FACILITY,52035,14.742043294820553,0.9999635089027199
AT.CAED/9008390469972.FACILITY,65006,24.364686224440604,0.9999999537087838
AT.CAED/9008390470060.FACILITY,229250,9.328898086934213,0.9984474447676316
AT.CAED/9008390470305.FACILITY,65035,11.609196980021109,0.9996800040448579
AT.CAED/9008390475485.FACILITY,110683,17.166804462418227,0.999993203677553
AT.CAED/9008390476857.FACILITY,52011,13.629250535232572,0.9999210862834914
AT.CAED/9008390477540.FACILITY,52012,31.26423713082427,0.9999999996122723
AT.CAED/9008390481776.FACILITY,65031,14.742043294820553,0.9999635089027199
AT.CAED/9008390481905.FACILITY,65065,35.00146160575576,0.9999999999709256
AT.CAED/9008390482490.FACILITY,65004,25.227154337194694,0.99999997453933
AT.CAED/9008390482780.FACILITY,52015,27.750029552043237,0.999999995569949
AT.CAED/9008390483152.FACILITY,65066,11.135061191459446,0.9995555534757036
AT.CAED/9008390483183.FACILITY,138295,14.851266126204886,0.9999661694755988
AT.CAED/9008390483954.FACILITY,65025,30.118018786363514,0.9999999991418308
AT.CAED/9008390484357.FACILITY,301201,8.416847926624301,0.9970825232134501
AT.CAED/9008390484395.FACILITY,5830,15.756838590117425,0.9999819402761929
AT.CAED/9008390484500.FACILITY,52020,21.280246871175997,0.9999996073485495
AT.CAED/9008390484586.FACILITY,110739,22.505437744976614,0.9999998320468706
