Facility_INSPIRE_ID_cluster,Facility_INSPIRE_ID
CZ.MZP.J635/CZ57798107.FACILITY,CZ.EEA/CZ36847563.FACILITY
CZ.MZP.K411/CZ11824076.FACILITY,CZ.EEA/CZ11824076.FACILITY
CZ.MZP.L512/CZ41075431.FACILITY,CZ.MZP.L512/CZ11964142.FACILITY
CZ.MZP.L513/CZ01157860.FACILITY,CZ.MZP.L513/CZ66107919.FACILITY
CZ.MZP.M712/CZ0220124E.FACILITY,CZ.EEA/CZ89087618.FACILITY
CZ.MZP.M712/CZ30098131.FACILITY,CZ.EEA/CZ30098131.FACILITY
CZ.MZP.M713/CZ28746097.FACILITY,CZ.EEA/CZ28746097.FACILITY
CZ.MZP.P322/CZ39712486.FACILITY,CZ.EEA/CZ39712486.FACILITY
CZ.MZP.P324/CZ0153592E.FACILITY,CZ.MZP.P321/CZ0153592E.FACILITY
CZ.MZP.P324/CZ82022620.FACILITY,CZ.EEA/CZ82022620.FACILITY
CZ.MZP.P324/CZ84467685.FACILITY,CZ.EEA/CZ10615598.FACILITY
CZ.MZP.P325/CZ0030273E.FACILITY,CZ.MZP.P325/CZ0226263E.FACILITY
CZ.MZP.S201/CZ0202149E.FACILITY,CZ.EEA/CZ0202149E.FACILITY
CZ.MZP.S205/CZ45384286.FACILITY,CZ.EEA/CZ45384286.FACILITY
CZ.MZP.S208/CZ98235219.FACILITY,CZ.EEA/CZ98235219.FACILITY
CZ.MZP.S20A/CZ22786419.FACILITY,CZ.EEA/CZ16233631.FACILITY
CZ.MZP.S20B/CZ0162664E.FACILITY,CZ.EEA/CZ0162664E.FACILITY
CZ.MZP.S20C/CZ0055415E.FACILITY,CZ.EEA/CZ20817997.FACILITY
CZ.MZP.U423/CZ21858286.FACILITY,CZ.EEA/CZ21858286.FACILITY
CZ.MZP.U424/CZ20794486.FACILITY,CZ.MZP.K412/CZ99884018.FACILITY
CZ.MZP.U425/CZ0132503E.FACILITY,CZ.EEA/CZ0132503E.FACILITY
DE.EEA/12968.FACILITY,DE.EEA/12969.FACILITY
DE.EEA/14-60-20500730000.FACILITY,DE.EEA/14-20-92592940000.FACILITY
DE.EEA/14-60-20500920000.FACILITY,DE.EEA/14-20-20500920000.FACILITY
DE.EEA/14-60-20900350000.FACILITY,DE.EEA/14-20-92592940000.FACILITY
DE.EEA/14-60-40700000000.FACILITY,DE.EEA/14-04-40700000000.FACILITY
DE.EEA/14-60-60319980000.FACILITY,DE.EEA/14-20-60319980000.FACILITY
DE.EEA/14-60-69650000000.FACILITY,DE.EEA/14-40-69650000000.FACILITY
DE.EEA/14-60-92592940000.FACILITY,DE.EEA/14-20-92592940000.FACILITY
DE.EEA/14-62-40700000000.FACILITY,DE.EEA/14-04-40700000000.FACILITY
DE.EEA/14-64-41120000000.FACILITY,DE.EEA/14-04-41120000000.FACILITY
DE.EEA/14-65-60319980000.FACILITY,DE.EEA/14-20-60319980000.FACILITY
DE.EEA/14-70-14600000000.FACILITY,DE.EEA/14-04-14600000000.FACILITY
DE.EEA/14-70-47399980000.FACILITY,DE.EEA/14-10-47399980000.FACILITY
DE.EEA/14-70-51289144163.FACILITY,DE.EEA/14-50-51289144163.FACILITY
DE.EEA/14-70-98211930000.FACILITY,DE.EEA/14-10-98211930000.FACILITY
DE.EEA/14-72-00075113511.FACILITY,DE.EEA/14-50-00075113511.FACILITY
